lloydsaiagent@cloudshell:~$ kubectl -n qe-hack-syndicate logs qe-quality-agent-849f76955-g7psl  --tail 20 -f
Defaulted container "qe-quality-agent" out of: qe-quality-agent, git-clone (init)
INFO:     35.191.249.55:47242 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.49:41854 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:38456 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:58040 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:53972 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.49:51168 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:43444 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:37998 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:38008 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:48820 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.49:54354 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:41442 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:37918 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:37628 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.49:52188 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:42932 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:40358 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:40362 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:60856 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.49:41220 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:58768 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:47054 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:58548 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.74.22:46016 - "POST /qe/jira/webhook?token=4f0f6f53b12f2e2bcc385d2c14c41c969524e6a28b7068d2664fec6610619852&triggeredByUser=712020%3Ac0c2a39f-d79e-481d-9ec0-ddd0df710af5 HTTP/1.1" 404 Not Found
INFO:     35.191.249.49:60798 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.51:40200 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:44004 - "GET /healthz HTTP/1.1" 200 OK
INFO:     10.19.129.1:44016 - "GET /healthz HTTP/1.1" 200 OK
INFO:     35.191.249.55:44182 - "GET /healthz HTTP/1.1" 200 OK
